2016-02-21 13:49:46, INFO, ::1, File[ E:\myenv\xampp\htdocs\feise\vendor\yinlian_sdk\acp_service.php ], Line[77]------ 后台返回结果为>accessType=0&bizType=000201&certId=68759585097&encoding=utf-8&merId=777290058125654&orderId=2016012421709&respCode=00&respMsg=成功[0000000]&signMethod=01&tn=201602211349452207368&txnSubType=01&txnTime=20160221134945&txnType=01&version=5.0.0&signature=dG1Wa+EaHuPgu+LEoMelBHYgQNocYYCAC+QZXwYhnIST2+MeAcQDBGR/ZpRepXpTkuRs1/6esF8N5juQB8tyTGgENx2A+7D19N+4r827EzxM1AEPmS0gSE6i2W+orcjFvIXqMU+nxnaGtLtjxnmDADnA3v555DdR8bodaw102dUmGNu2kBXOIPby+Lx2FvnUFYKR7JBOuKBxnYUZ+Ud9t8LUYN291p0lpi5y/Tb9cl/PKGOTAFHNRzFt35Z7lzs41ZfkJInpc619a/L5q8rsp+/F4hfPrvNHZE3+vxCvMrxF0PRctSEDqAYhckTCVQSAt/IxfDEKJwSKLgOdylH1dg== 
2016-02-21 13:49:46, INFO, ::1, File[ E:\myenv\xampp\htdocs\feise\vendor\yinlian_sdk\secureUtil.php ], Line[72]------ 报文返回的证书ID>68759585097 
2016-02-21 13:49:46, INFO, ::1, File[ E:\myenv\xampp\htdocs\feise\vendor\yinlian_sdk\secureUtil.php ], Line[75]------ 验证签名证书目录 :>E:/myenv/xampp/htdocs/feise/vendor/yinlian_sdk/certs/ 
2016-02-21 13:49:46, INFO, ::1, File[ E:\myenv\xampp\htdocs\feise\vendor\yinlian_sdk\secureUtil.php ], Line[85]------ 加载验签证书成功 
2016-02-21 13:49:46, INFO, ::1, File[ E:\myenv\xampp\htdocs\feise\vendor\yinlian_sdk\secureUtil.php ], Line[53]------ 报文去[signature] key=val&串>accessType=0&bizType=000201&certId=68759585097&encoding=utf-8&merId=777290058125654&orderId=2016012421709&respCode=00&respMsg=成功[0000000]&signMethod=01&tn=201602211349452207368&txnSubType=01&txnTime=20160221134945&txnType=01&version=5.0.0 
2016-02-21 13:49:46, INFO, ::1, File[ E:\myenv\xampp\htdocs\feise\vendor\yinlian_sdk\secureUtil.php ], Line[57]------ 摘要shax16>9fb8a93a0ec8563fdc7de4a5ab7c5229d4a13261 
2016-02-21 13:49:46, INFO, ::1, File[ E:\myenv\xampp\htdocs\feise\vendor\yinlian_sdk\secureUtil.php ], Line[59]------ 验签成功 
2016-02-21 13:50:57, INFO, ::1, File[ E:\myenv\xampp\htdocs\feise\vendor\yinlian_sdk\secureUtil.php ], Line[13]------ =====签名报文开始====== 
2016-02-21 13:50:57, INFO, ::1, File[ E:\myenv\xampp\htdocs\feise\vendor\yinlian_sdk\secureUtil.php ], Line[19]------ 签名key=val&...串 >accessType=0&backUrl=http://222.222.222.222/upacp_sdk_php/demo/api_05_app/BackReceive.php&bizType=000201&certId=68759663125&channelType=08&currencyCode=156&encoding=utf-8&frontUrl=http://localhost:8085/upacp_sdk_php/demo/api_05_app/FrontReceive.php&merId=700000000000001&orderId=2016012421709&signMethod=01&txnAmt=1&txnSubType=01&txnTime=20160221135057&txnType=01&version=5.0.0 
2016-02-21 13:50:57, INFO, ::1, File[ E:\myenv\xampp\htdocs\feise\vendor\yinlian_sdk\secureUtil.php ], Line[22]------ 摘要sha1x16 >f5df73ed08659565733b79c0d0a569d3b11b115d 
2016-02-21 13:50:57, INFO, ::1, File[ E:\myenv\xampp\htdocs\feise\vendor\yinlian_sdk\secureUtil.php ], Line[29]------ 签名串为 >okLZQJzoD32oa8ByL2274R1f5GUZT0fTJ2bLWyHwGLlfRxE6G/eHqTxfh/pJvrfATnvPB5mrVH9R31SARUAO3+JjjfJJLAdZ4qkUv3wFhQxCNk3AH3eSC28plCIEpYvkafjPhNYdkPQ7SBWFJiPBQOEo6c5fMB0xz8UXYHvJ/I7Rycgt92ZDNgCASYfjuz0ValS5KxNTLyR3iZoMEGebwQ6i9FAiU+S/CxjlJuOMQXgBfVQUCxi1YBK/qi3EpuhN7mnDFoJjuBjUJ4KFGHvSrBqLfoYyHMOvo3PdCrH/MnLdSz30aDF9jUYzV6HB6iQWjBHkt09ZWJlCNymyV1vtNw== 
2016-02-21 13:50:57, INFO, ::1, File[ E:\myenv\xampp\htdocs\feise\vendor\yinlian_sdk\secureUtil.php ], Line[34]------ =====签名报文结束====== 
2016-02-21 13:50:57, INFO, ::1, File[ E:\myenv\xampp\htdocs\feise\vendor\yinlian_sdk\acp_service.php ], Line[62]------ 后台请求地址为>https://101.231.204.80:5000/gateway/api/appTransReq.do 
2016-02-21 13:50:57, INFO, ::1, File[ E:\myenv\xampp\htdocs\feise\vendor\yinlian_sdk\acp_service.php ], Line[63]------ 后台请求报文为>version=5.0.0&encoding=utf-8&txnType=01&txnSubType=01&bizType=000201&frontUrl=http%3A%2F%2Flocalhost%3A8085%2Fupacp_sdk_php%2Fdemo%2Fapi_05_app%2FFrontReceive.php&backUrl=http%3A%2F%2F222.222.222.222%2Fupacp_sdk_php%2Fdemo%2Fapi_05_app%2FBackReceive.php&signMethod=01&channelType=08&accessType=0&currencyCode=156&merId=700000000000001&orderId=2016012421709&txnTime=20160221135057&txnAmt=1&certId=68759663125&signature=okLZQJzoD32oa8ByL2274R1f5GUZT0fTJ2bLWyHwGLlfRxE6G%2FeHqTxfh%2FpJvrfATnvPB5mrVH9R31SARUAO3%2BJjjfJJLAdZ4qkUv3wFhQxCNk3AH3eSC28plCIEpYvkafjPhNYdkPQ7SBWFJiPBQOEo6c5fMB0xz8UXYHvJ%2FI7Rycgt92ZDNgCASYfjuz0ValS5KxNTLyR3iZoMEGebwQ6i9FAiU%2BS%2FCxjlJuOMQXgBfVQUCxi1YBK%2Fqi3EpuhN7mnDFoJjuBjUJ4KFGHvSrBqLfoYyHMOvo3PdCrH%2FMnLdSz30aDF9jUYzV6HB6iQWjBHkt09ZWJlCNymyV1vtNw%3D%3D 
2016-02-21 13:50:57, INFO, ::1, File[ E:\myenv\xampp\htdocs\feise\vendor\yinlian_sdk\acp_service.php ], Line[77]------ 后台返回结果为>accessType=0&bizType=000201&certId=68759585097&encoding=utf-8&merId=700000000000001&orderId=2016012421709&respCode=00&respMsg=成功[0000000]&signMethod=01&tn=201602211350572561618&txnSubType=01&txnTime=20160221135057&txnType=01&version=5.0.0&signature=u1SIqmxn8Se2fmD2DvImXl5sbiwoN3tar5lvDUBJKsBfOEyjaikEGcwW1pLxXUzhR3pAlIPpICA6xr6yZU+WCHDb04j9TouxkSgrhpqi/iMmKegbygP+cKwn1sPjPoO9lmUgYPhKfFsaUM23OhHKghQtqSBzu11e44xx8MwPoMYkClpNtfsfq1vrDsTVft716yeve+Yxcq1XTDW3fKD7o4xPUZf/WYD/jgPiqKqsQh48B5ZtQQRERdRYU+uJZUqEFvBnSm7H4jCp07zeF9b34mOFKT4vcuVrKAcuHpxhG9n2OFh3CozfEgH/4kcGhL18XdeJmKXbqp1KEvdRRDpE0w== 
2016-02-21 13:50:57, INFO, ::1, File[ E:\myenv\xampp\htdocs\feise\vendor\yinlian_sdk\secureUtil.php ], Line[72]------ 报文返回的证书ID>68759585097 
